WKT;Tipo;Nombre de la avenida;País;Departamento;Provincia;Distrito;Ubigeo;Nombre del personaje
LINESTRING (-77.1842265 -11.8337351, -77.1840401 -11.8336091, -77.18391 -11.833554, -77.1838268 -11.8335514, -77.1836391 -11.8335894, -77.1833226 -11.8336931, -77.1830812 -11.8338257, -77.1829497 -11.8339635, -77.1828666 -11.8341066, -77.1828103 -11.834226, -77.1827674 -11.8344544, -77.1827472 -11.8347091, -77.1827191 -11.8351134, -77.1826949 -11.8355006, -77.1826842 -11.8356489, -77.1826949 -11.8359167, -77.1827191 -11.8363183, -77.1827285 -11.8366018, -77.1827311 -11.8368342, -77.1827244 -11.8372713, -77.1827177 -11.8375548, -77.1827083 -11.8377412, -77.1826574 -11.8379065, -77.1824522 -11.8381192, -77.1822913 -11.8382294, -77.1820539 -11.8383187, -77.1818795 -11.8383489, -77.1815067 -11.8383594, -77.1812532 -11.8383725, -77.1810454 -11.8384106, -77.1808804 -11.8384775, -77.1803118 -11.8388319, -77.1798317 -11.8391141, -77.1792416 -11.8394882, -77.1790297 -11.8396011, -77.1788486 -11.8396667, -77.1786891 -11.8396877, -77.1784718 -11.8396287, -77.1776564 -11.8392585, -77.1769738 -11.8389369, -77.176664 -11.8387624, -77.1765701 -11.8386757, -77.1764668 -11.8385655, -77.1762295 -11.8381389, -77.1761168 -11.8379774, -77.1760109 -11.8378921, -77.1758459 -11.8378107, -77.1749608 -11.8375456, -77.174195 -11.8373224, -77.1737015 -11.8371807, -77.1731946 -11.8370573, -77.172976 -11.8369169, -77.1728338 -11.8367357, -77.1727077 -11.836405, -77.1725629 -11.8358143, -77.1724435 -11.835368, -77.1722786 -11.8348797, -77.1720627 -11.834037, -77.1718923 -11.8336511, -77.1716885 -11.8334437, -77.1711453 -11.8329909, -77.1706652 -11.8325393, -77.1701824 -11.8320983, -77.1691699 -11.8312412, -77.1685356 -11.8306426, -77.1678878 -11.8299706, -77.1675203 -11.8291489, -77.1672521 -11.8284492, -77.1671502 -11.8278874, -77.1669826 -11.8274543, -77.1668927 -11.8266942, -77.1668444 -11.8263937, -77.166772 -11.8262007, -77.1666151 -11.8259159, -77.165962 -11.8251991, -77.165443 -11.8246281, -77.1651063 -11.8242606, -77.1647872 -11.8239403, -77.1645806 -11.8235478, -77.1644318 -11.8225266, -77.1644546 -11.8222076, -77.1645297 -11.8219661, -77.1646142 -11.8218401, -77.1654161 -11.8207335, -77.1661055 -11.8198881, -77.1672293 -11.8184061, -77.1674345 -11.8181147, -77.1680085 -11.8170606, -77.1685771 -11.8160748, -77.1687837 -11.8156849, -77.1690975 -11.8152098, -77.16941 -11.8146886, -77.1697653 -11.8141189, -77.1701288 -11.8135348, -77.1703286 -11.8131816, -77.1706384 -11.8128784, -77.1709093 -11.8126802, -77.171254 -11.8125332, -77.1724033 -11.8121564, -77.1728673 -11.8119936, -77.1731543 -11.8116838, -77.1731543 -11.8113176, -77.1730457 -11.8109684, -77.1725414 -11.8096859, -77.1724663 -11.8095349, -77.1724261 -11.8091149, -77.1724596 -11.8087985, -77.172579 -11.8086147, -77.1727614 -11.8084769, -77.1728311 -11.8084559, -77.1729733 -11.8084834);Avenida;Avenida Santa Rosa;Perú;Lima;Callao;Ventanilla (Callao);70106;Isabel Flores de Oliva
LINESTRING (-77.1842265 -11.8337351, -77.1840401 -11.8336091, -77.18391 -11.833554, -77.1838268 -11.8335514, -77.1836391 -11.8335894, -77.1833226 -11.8336931, -77.1830812 -11.8338257, -77.1829497 -11.8339635, -77.1828666 -11.8341066, -77.1828103 -11.834226, -77.1827674 -11.8344544, -77.1827472 -11.8347091, -77.1827191 -11.8351134, -77.1826949 -11.8355006, -77.1826842 -11.8356489, -77.1826949 -11.8359167, -77.1827191 -11.8363183, -77.1827285 -11.8366018, -77.1827311 -11.8368342, -77.1827244 -11.8372713, -77.1827177 -11.8375548, -77.1827083 -11.8377412, -77.1826574 -11.8379065, -77.1824522 -11.8381192, -77.1822913 -11.8382294, -77.1820539 -11.8383187, -77.1818795 -11.8383489, -77.1815067 -11.8383594, -77.1812532 -11.8383725, -77.1810454 -11.8384106, -77.1808804 -11.8384775, -77.1803118 -11.8388319, -77.1798317 -11.8391141, -77.1792416 -11.8394882, -77.1790297 -11.8396011, -77.1788486 -11.8396667, -77.1786891 -11.8396877, -77.1784718 -11.8396287, -77.1776564 -11.8392585, -77.1769738 -11.8389369, -77.176664 -11.8387624, -77.1765701 -11.8386757, -77.1764668 -11.8385655, -77.1762295 -11.8381389, -77.1761168 -11.8379774, -77.1760109 -11.8378921, -77.1758459 -11.8378107, -77.1749608 -11.8375456, -77.174195 -11.8373224, -77.1737015 -11.8371807, -77.1731946 -11.8370573, -77.172976 -11.8369169, -77.1728338 -11.8367357, -77.1727077 -11.836405, -77.1725629 -11.8358143, -77.1724435 -11.835368, -77.1722786 -11.8348797, -77.1720627 -11.834037, -77.1718923 -11.8336511, -77.1716885 -11.8334437, -77.1711453 -11.8329909, -77.1706652 -11.8325393, -77.1701824 -11.8320983, -77.1691699 -11.8312412, -77.1685356 -11.8306426, -77.1678878 -11.8299706, -77.1675203 -11.8291489, -77.1672521 -11.8284492, -77.1671502 -11.8278874, -77.1669826 -11.8274543, -77.1668927 -11.8266942, -77.1668444 -11.8263937, -77.166772 -11.8262007, -77.1666151 -11.8259159, -77.165962 -11.8251991, -77.165443 -11.8246281, -77.1651063 -11.8242606, -77.1647872 -11.8239403, -77.1645806 -11.8235478, -77.1644318 -11.8225266, -77.1644546 -11.8222076, -77.1645297 -11.8219661, -77.1646142 -11.8218401, -77.1654161 -11.8207335, -77.1661055 -11.8198881, -77.1672293 -11.8184061, -77.1674345 -11.8181147, -77.1680085 -11.8170606, -77.1685771 -11.8160748, -77.1687837 -11.8156849, -77.1690975 -11.8152098, -77.16941 -11.8146886, -77.1697653 -11.8141189, -77.1701288 -11.8135348, -77.1703286 -11.8131816, -77.1706384 -11.8128784, -77.1709093 -11.8126802, -77.171254 -11.8125332, -77.1724033 -11.8121564, -77.1728673 -11.8119936, -77.1731543 -11.8116838, -77.1731543 -11.8113176, -77.1730457 -11.8109684, -77.1725414 -11.8096859, -77.1724663 -11.8095349, -77.1724261 -11.8091149, -77.1724596 -11.8087985, -77.172579 -11.8086147, -77.1727614 -11.8084769, -77.1728311 -11.8084559, -77.1729733 -11.8084834);Avenida;Avenida Santa Rosa;Perú;Lima;Callao;Santa Rosa;150139;Isabel Flores de Oliva
LINESTRING (-77.1056931 -11.9840354, -77.1065085 -11.9836891, -77.10712 -11.9834582, -77.1073212 -11.9833821, -77.1078657 -11.9832483, -77.1088045 -11.9830436, -77.1089413 -11.9830305, -77.1091129 -11.9829833, -77.1096708 -11.9826291, -77.1101107 -11.98233, -77.1106149 -11.9819443, -77.111197 -11.9814458, -77.1115832 -11.9810994, -77.1118461 -11.9808685, -77.1121411 -11.9806271, -77.1124174 -11.9804146, -77.1125274 -11.9803464, -77.1125696 -11.9803152);Avenida;Avenida Santa Rosa;Perú;Lima;Lima;San Martín de Porres;150135;Isabel Flores de Oliva
LINESTRING (-77.0225534 -11.9140301, -77.0229557 -11.9140459, -77.0232508 -11.9140747, -77.0236719 -11.9141272, -77.0240742 -11.9142165, -77.024726 -11.9143529, -77.0260242 -11.9146652, -77.0273707 -11.9149697, -77.0278964 -11.9150563, -77.0285937 -11.9151796, -77.0287895 -11.9151954, -77.02909 -11.9153712, -77.0301441 -11.9159722, -77.0311365 -11.9165758, -77.0317319 -11.9169117, -77.0318929 -11.9169774, -77.0320404 -11.917022, -77.0325634 -11.9170351);Avenida;Avenida Santa Rosa;Perú;Lima;Lima;Comas;150110;Isabel Flores de Oliva
LINESTRING (-76.9291523 -12.199735, -76.9284871 -12.1993523, -76.927441 -12.1987545, -76.9265693 -12.1982354, -76.9252684 -12.1974568, -76.9236886 -12.1964448, -76.922782 -12.1959179, -76.9210064 -12.1948614, -76.9203412 -12.1944366, -76.9197967 -12.1940958, -76.9192254 -12.1937419, -76.9181847 -12.1931284, -76.9180774 -12.1930078, -76.9180882 -12.1928977);Avenida;Avenida Santa Rosa;Perú;Lima;Lima;Villa María del Triunfo;150143;Isabel Flores de Oliva
LINESTRING (-76.9817151 -12.1933796, -76.9814818 -12.1931502, -76.9812752 -12.1929352, -76.980944 -12.1925773, -76.9804169 -12.1921015, -76.9801346 -12.1918361, -76.9800034 -12.1916994, -76.9798657 -12.1915903, -76.9798134 -12.1915339, -76.9797839 -12.1914985);Avenida;Avenida Santa Rosa;Perú;Lima;Lima;Chorrillos;150109;Isabel Flores de Oliva
LINESTRING (-77.0867451 -11.8717856, -77.0860264 -11.8723483, -77.0856187 -11.872595, -77.0850983 -11.8729376, -77.0825864 -11.8744416, -77.0812768 -11.8754036, -77.0799349 -11.8757146, -77.0792708 -11.8758473, -77.078987 -11.8758139, -77.0787783 -11.8757281, -77.0782751 -11.8751889, -77.0776431 -11.8747547, -77.0774677 -11.8747449, -77.0773245 -11.8747981, -77.0770273 -11.8749256, -77.0764222 -11.8751594, -77.0761381 -11.8751509, -77.0759077 -11.8750479, -77.0754791 -11.8746845, -77.0743965 -11.875228);Avenida;Avenida Santa Rosa;Perú;Lima;Lima;Puente Piedra;150125;Isabel Flores de Oliva
LINESTRING (-76.9974009 -12.0597436, -76.997315 -12.0596281, -76.9972882 -12.0595101, -76.9972078 -12.0593449, -76.9969851 -12.0591219, -76.9968054 -12.058954, -76.9965801 -12.0586996, -76.9963763 -12.0585803, -76.9961805 -12.0585422, -76.9958935 -12.0584898, -76.9958237 -12.0583743, -76.9958613 -12.0582537, -76.995931 -12.0581068, -76.9959525 -12.0579756, -76.9959257 -12.0578025, -76.9958076 -12.0577186, -76.9956306 -12.0576714, -76.9954965 -12.0575927, -76.9954053 -12.0574353, -76.9953463 -12.0572674, -76.995298 -12.0570209, -76.9952605 -12.056853, -76.9950942 -12.056769, -76.9948581 -12.0566956, -76.9947723 -12.0565854, -76.9947616 -12.0565094, -76.9947321 -12.0563913, -76.9946825 -12.0561916, -76.9946338 -12.0561575, -76.9945906 -12.0561285, -76.9944826 -12.0559028, -76.9941339 -12.055409, -76.9940813 -12.055425, -76.9940501 -12.0555983, -76.9939234 -12.0557247, -76.9936263 -12.0556938, -76.9933132 -12.0555106, -76.9931341 -12.0552974, -76.9930195 -12.0550631, -76.9928941 -12.0547816, -76.9926938 -12.0545683, -76.9926472 -12.0544721, -76.9926544 -12.0543235, -76.99278 -12.0543173, -76.9929163 -12.0543322, -76.993189 -12.0543724, -76.9934402 -12.0544494, -76.9935872 -12.0545088, -76.9936978 -12.0544891, -76.9937922 -12.0544378, -76.9939028 -12.054397, -76.9940133 -12.0543773, -76.9942424 -12.0543928, -76.9944608 -12.0543821, -76.9948789 -12.054581, -76.995364 -12.0547248, -76.9957585 -12.0548234, -76.9961477 -12.0549849, -76.9965274 -12.0551064, -76.9967011 -12.0552353, -76.996891 -12.0552593, -76.997105 -12.0552426, -76.9973082 -12.0551997, -76.9975072 -12.0551972, -76.9977008 -12.0552419, -76.9978972 -12.0552629, -76.9980935 -12.055263, -76.9981621 -12.0553405, -76.9981932 -12.0554494, -76.998234 -12.0556882, -76.9982844 -12.0559954, -76.9983456 -12.0562922, -76.9985832 -12.0565788, -76.9986745 -12.0568014, -76.9987927 -12.0569559, -76.9990396 -12.0571261, -76.999088 -12.0572108, -76.999115 -12.0573061, -76.9990696 -12.057396, -76.9989866 -12.0574598, -76.9987964 -12.057517, -76.99859 -12.0575007, -76.9983944 -12.057592, -76.9983368 -12.057656, -76.9983436 -12.05772, -76.998398 -12.0577444, -76.9984631 -12.0577372, -76.9985719 -12.0576757, -76.9987424 -12.0576982, -76.9989076 -12.0576787, -76.9991601 -12.0576422, -76.9994125 -12.0576373);Avenida;Avenida Santa Rosa;Perú;Lima;Lima;El Agustino;150111;Isabel Flores de Oliva
LINESTRING (-76.9784072 -12.0608856, -76.9779726 -12.0616463, -76.9776776 -12.0621604, -76.9776401 -12.0622968, -76.9776722 -12.0626115, -76.9778385 -12.0629263, -76.9780477 -12.0632305, -76.9782677 -12.0638443, -76.9787666 -12.0650299, -76.9792494 -12.0663047, -76.9798824 -12.0677945, -76.9802686 -12.0687492, -76.981363 -12.0714928, -76.98154 -12.0719964);Avenida;Avenida Santa Rosa;Perú;Lima;Lima;Ate;150103;Isabel Flores de Oliva
LINESTRING (-77.0267821 -12.0219497, -77.0267312 -12.0220298, -77.026703 -12.0220507, -77.0266641 -12.0220691, -77.0266118 -12.0220888, -77.0265233 -12.0221098, -77.0264831 -12.0221216, -77.0264455 -12.0221517, -77.0264294 -12.0221885, -77.02642 -12.0222199, -77.0264281 -12.0222882, -77.0264563 -12.0223367, -77.0265327 -12.0223905, -77.0266145 -12.0224639, -77.02675 -12.022582, -77.0267969 -12.0226397, -77.0268049 -12.0227118, -77.0267714 -12.0227512, -77.0266762 -12.0228194, -77.0266105 -12.0228404, -77.0265032 -12.0228561, -77.0264442 -12.0228509, -77.0263771 -12.0228614, -77.0263369 -12.0228981, -77.0263248 -12.0229492, -77.0262993 -12.023003, -77.0262444 -12.0230621, -77.0261035 -12.0232221, -77.0259788 -12.0233651, -77.0258823 -12.0235644, -77.0256162 -12.0241087, -77.0253614 -12.0245704, -77.025222 -12.0247934);Avenida;Avenida Santa Rosa;Perú;Lima;Lima;Rímac;150128;Isabel Flores de Oliva
LINESTRING (-77.0289683 -11.9199772, -77.0284989 -11.9195757, -77.0277694 -11.9189773, -77.026954 -11.9183265, -77.0265114 -11.9179774, -77.0264363 -11.9179144, -77.0264685 -11.9178488, -77.0262674 -11.917715, -77.0261359 -11.9175864, -77.0260474 -11.9175483);Avenida;Avenida Santa Rosa;Perú;Lima;Lima;Comas;150110;Isabel Flores de Oliva
LINESTRING (-76.9983583 -11.9887474, -76.9988411 -11.9893823, -76.9994554 -11.9900461, -76.9995278 -11.9901694, -76.999627 -11.9904265, -76.9997428 -11.9909857, -76.9999413 -11.991416, -77.0003544 -11.9920562, -77.0006494 -11.9925337, -77.0007513 -11.9928538, -77.0007192 -11.9935044, -77.0006762 -11.9946798, -77.0006333 -11.9960389, -77.0005046 -11.9985838, -77.0004831 -11.9987727, -77.0002364 -11.9995283, -76.9993995 -12.0017793, -76.9989489 -12.0029757, -76.9984607 -12.0042455, -76.9977741 -12.0061554, -76.9970767 -12.0080286, -76.9968836 -12.0085691, -76.9968407 -12.0088104, -76.996787 -12.0093037, -76.9969158 -12.0100173, -76.9970177 -12.0106469, -76.9969802 -12.010967, -76.9965242 -12.012116, -76.9963686 -12.0124151, -76.9961862 -12.0126198, -76.9957302 -12.0127562, -76.9954245 -12.0127824, -76.9950812 -12.0127719, -76.9947056 -12.0127562, -76.9943194 -12.0128034, -76.9940512 -12.0129923, -76.9939278 -12.0129923, -76.9938795 -12.0129451, -76.9933324 -12.0138108, -76.9932304 -12.0139157);Avenida;Avenida Santa Rosa de Lima;Perú;Lima;Lima;San Juan de Lurigancho;150132;Isabel Flores de Oliva
LINESTRING (-76.996797 -11.9898889, -76.9965341 -11.9893694, -76.9964108 -11.9889286, -76.996046 -11.9879421, -76.9957214 -11.9867535, -76.9954961 -11.9862314, -76.9947371 -11.9851268, -76.9939163 -11.9840039, -76.9934416 -11.98318, -76.9927013 -11.9820623, -76.9922185 -11.9810154, -76.9919556 -11.98, -76.991859 -11.9790056, -76.9917303 -11.9776963, -76.9916016 -11.9761141, -76.9915211 -11.9746212, -76.991564 -11.9737815, -76.9916954 -11.9730993, -76.9921031 -11.9717139, -76.9923365 -11.9711288, -76.9927764 -11.9703259, -76.9932779 -11.9695204, -76.9938492 -11.9689326, -76.99456 -11.9681769, -76.995869 -11.9670067, -76.9969499 -11.9661618, -76.9978967 -11.9653588, -76.9994417 -11.9639734, -76.9997528 -11.9636874, -77.0007398 -11.9630288);Avenida;Avenida Santa Rosa de Lima;Perú;Lima;Lima;San Juan de Lurigancho;150132;Isabel Flores de Oliva
LINESTRING (-76.9482543 -12.1723086, -76.9479271 -12.1720858, -76.9473678 -12.1716885, -76.9466369 -12.1711812, -76.9461582 -12.1708508, -76.9455252 -12.1704235, -76.9449311 -12.1700249, -76.9445046 -12.1697365, -76.9438716 -12.169296, -76.9431863 -12.1688241, -76.9425721 -12.168398, -76.9421831 -12.1681266, -76.9417714 -12.1678658, -76.9412846 -12.1675603, -76.9407656 -12.167538, -76.9403042 -12.1674764, -76.9398979 -12.1672745, -76.9393856 -12.1670228, -76.9393333 -12.1669848, -76.9393266 -12.1669415);Avenida;Avenida y Prolongación María Parado de Bellido;Perú;Lima;Lima;Villa María del Triunfo;150143;María Andrea Parado Jayo
LINESTRING (-77.0466072 -11.8863704, -77.045934 -11.8869688, -77.0455531 -11.8873468, -77.04514 -11.8877247, -77.0448691 -11.8879373, -77.0445875 -11.8881342, -77.0443723 -11.8883494, -77.0442107 -11.8884806, -77.0439733 -11.8888271, -77.0439237 -11.8890226, -77.0438794 -11.8892365, -77.0438874 -11.889405, -77.0439114 -11.8895735, -77.0441527 -11.8899498);Avenida;Prolongación Isabel Chimpu Ocllo;Perú;Lima;Lima;Carabayllo;150106;Isabel Suárez Yupanqui
LINESTRING (-77.0645968 -11.8778508, -77.0644278 -11.8780214, -77.0642722 -11.8780923, -77.0640764 -11.8781264, -77.063709 -11.878108, -77.0629874 -11.878045, -77.0619494 -11.877961, -77.0617483 -11.8779374, -77.061354 -11.8779505, -77.0609141 -11.878003, -77.0607102 -11.8780162, -77.0602114 -11.8781054, -77.0596454 -11.8782235, -77.0586154 -11.8784099, -77.0581192 -11.8784939, -77.0572609 -11.8786592, -77.056813 -11.8787117, -77.056349 -11.8790004, -77.0557964 -11.8793417, -77.0551259 -11.879738, -77.0540745 -11.8803916, -77.0533234 -11.8808404);Avenida;Prolongación Isabel Chimpu Ocllo;Perú;Lima;Lima;Carabayllo;150106;Isabel Suárez Yupanqui
